ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae	0.0	0.0	0.0	0.0	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	4	6	0.0	29	1	2	0.0	0.0	0.0	0.0	77	4	0.0	0.0	115	47
d__Bacteria|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	14383	5983	1182	62149	5372	27750	1	1	0.0	1	56295	8747	11952	112575	6475	38845
d__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	23	15	5	7	4	8	1328	369	0.0	2	17	10	5	28	12	9
d__Bacteria|p__Lentisphaerota|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	0.0	0.0	0.0	4	0.0	0.0	0.0	0.0	0.0	0.0	24	0.0	0.0	1	2	12
d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae	4	0.0	0.0	6	55	2	0.0	0.0	0.0	0.0	7	1	5	7	257	2
d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae	1	0.0	0.0	51	20	9	0.0	0.0	0.0	0.0	0.0	0.0	1	8	1	6
d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae	8	0.0	0.0	21	160	18	0.0	0.0	2	0.0	30	265	4349	1559	60	3
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Archangiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae	1	2	0.0	0.0	1	2	0.0	0.0	0.0	0.0	4	1	0.0	0.0	1	4
